DataSN,title,display_time,start_time,end_time,publisher,category,senior_type,status,source_url,updated_at
9583726,廣慈分館x信義區健康服務中心「口腔健康甲百二」健康促進講座,2026-05-31T17:21:00 - 2026-06-10T17:21:00,2026-05-31T17:21:00,2026-06-10T17:21:00,臺北市立圖書館,教育、文化、講座,include,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=886D43AA95F352AB,2026-06-05 11:14:00
9579935,臺北市萬華區115年6月份里鄰活動資訊彙整表(PDF檔),2026-06-01T08:30:00 - 2026-06-30T17:30:00,2026-06-01T08:30:00,2026-06-30T17:30:00,臺北市萬華區公所,綜合,include,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=3B4FA8D86E7DF0EB,2026-06-05 11:14:00
9650498,本市2026年參與式預算提案票選活動案,2026-06-01T09:00:00 - 2026-06-15T17:00:00,2026-06-01T09:00:00,2026-06-15T17:00:00,臺北市政府財政局秘書室,綜合資訊,exclude,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=E062C28CED497525,2026-06-05 11:14:00
9582796,2026年臺北市士林區參與式預算票選活動開始囉！,2026-06-01T09:00:00 - 2026-06-15T17:00:00,2026-06-01T09:00:00,2026-06-15T17:00:00,臺北市士林區公所,,exclude,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=761A01A1FF340A42,2026-06-05 11:14:00
9580456,【合作計畫】臺北市立動物園社區保育與生態夥伴合作(試辦)計畫,2026-06-01T09:00:00 - 2026-06-30T17:00:00,2026-06-01T09:00:00,2026-06-30T17:00:00,臺北市立動物園,主題活動,include,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=13A71B82C45EC4AC,2026-06-05 11:14:00
9582776,稻香分館「倒掛金鉤，熱血十『足』：2026年FIFA世界盃足球賽」主題書展,6月1日（週一）至7月31日（週五），開館時間,2026-06-01T14:39:00,2026-07-31T14:39:00,臺北市立圖書館,教育、文化、展覽,include,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=914FB513EBFB627E,2026-06-05 11:14:00
9582778,稻香分館「森：認識樹木大作戰」系列活動,6月1日（週一）至8月31日（週一），開館時間,2026-06-01T14:40:00,2026-08-31T14:40:00,臺北市立圖書館,教育、文化、主題活動,exclude,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=164B9CCDBF9AAA59,2026-06-05 11:14:00
9582780,「臺灣漫遊．閱讀發光」主題書展暨借閱推廣活動,6月1日（週一）至6月30日（週二）二、,2026-06-01T14:42:00,2026-06-30T14:42:00,臺北市立圖書館,教育、文化、主題活動,include,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=544B0DE83CD72EC6,2026-06-05 11:14:00
9583649,本府民政局2026年參與式預算提案票選活動案，鼓勵市民朋友、同仁踴躍參與投票！！,2026-06-01T16:04:00 - 2026-06-15T17:00:00,2026-06-01T16:04:00,2026-06-15T17:00:00,臺北市政府客家事務委員會,,include,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=1AC8663086E14646,2026-06-05 11:14:00
9655696,臺北市中山區115年6月各里活動日程表,2026-06-01T16:08:00 - 2026-06-30T16:08:00,2026-06-01T16:08:00,2026-06-30T16:08:00,臺北市中山區公所,,include,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=09145D1155641740,2026-06-05 11:14:00
